Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
66,Tuesday Jun 15,boxscore,BOS,,ARI,W,6,3,,38-28,3,4.0,Buchholz,Kennedy,Papelbon,3:02,N,37459,+,
67,Wednesday Jun 16,boxscore,BOS,,ARI,W,6,2,,39-28,3,3.0,Lester,Lopez,Papelbon,2:48,N,37452,++,
68,Thursday Jun 17,boxscore,BOS,,ARI,W,8,5,,40-28,3,2.0,Lackey,Haren,,3:24,N,37544,+++,
69,Friday Jun 18,boxscore,BOS,,LAD,W,10,6,,41-28,3,1.0,Doubront,Monasterios,Bard,3:18,N,37723,++++,
70,Saturday Jun 19,boxscore,BOS,,LAD,W-wo,5,4,,42-28,3,1.0,Papelbon,Belisario,,3:07,D,37454,+++++,
71,Sunday Jun 20,boxscore,BOS,,LAD,W,2,0,,43-28,2,1.0,Buchholz,Kuroda,Papelbon,3:09,N,37430,++++++,
72,Tuesday Jun 22,boxscore,BOS,@,COL,L,1,2,,43-29,2,1.5,Chacin,Lester,Belisle,2:50,N,48112,-,
73,Wednesday Jun 23,boxscore,BOS,@,COL,L-wo,6,8,,43-30,2,2.5,Corpas,Papelbon,,2:57,N,48243,--,
74,Thursday Jun 24,boxscore,BOS,@,COL,W,13,11,10,44-30,2,2.0,Papelbon,Street,,4:48,N,48582,+,
75,Friday Jun 25,boxscore,BOS,@,SFG,L,4,5,,44-31,2,3.0,Sanchez,Wakefield,Wilson,3:15,N,41182,-,
76,Saturday Jun 26,boxscore,BOS,@,SFG,W,4,2,,45-31,2,2.0,Atchison,Bumgarner,Papelbon,2:46,D,42178,+,
77,Sunday Jun 27,boxscore,BOS,@,SFG,W,5,1,,46-31,2,2.0,Lester,Lincecum,,2:51,D,41528,++,
78,Tuesday Jun 29,boxscore,BOS,,TBR,W,8,5,,47-31,2,1.0,Lackey,Shields,Papelbon,3:30,N,38013,+++,
79,Wednesday Jun 30,boxscore,BOS,,TBR,L,4,9,,47-32,2,1.0,Garza,Matsuzaka,,3:35,N,38055,-,
80,Friday Jul 2,boxscore,BOS,,BAL,W,3,2,,48-32,2,0.5,Wakefield,Bergesen,Papelbon,2:07,N,38067,+,
81,Saturday Jul 3,boxscore,BOS,,BAL,W,9,3,,49-32,2,0.5,Lester,Guthrie,,2:56,N,38106,++,
82,Sunday Jul 4,boxscore,BOS,,BAL,L,1,6,,49-33,2,1.5,Matusz,Lackey,,2:48,D,37742,-,
83,Monday Jul 5,boxscore,BOS,@,TBR,L,5,6,,49-34,3,2.5,Choate,Ramirez,Soriano,3:40,N,28528,--,
84,Tuesday Jul 6,boxscore,BOS,@,TBR,L,2,3,,49-35,3,3.5,Niemann,Doubront,Soriano,3:22,N,19902,---,
85,Wednesday Jul 7,boxscore,BOS,@,TBR,L,4,6,,49-36,3,4.5,Price,Wakefield,Garza,3:10,N,24356,----,
86,Friday Jul 9,boxscore,BOS,@,TOR,W,14,3,,50-36,3,5.0,Lester,Romero,,3:13,N,27567,+,
87,Saturday Jul 10,boxscore,BOS,@,TOR,L,5,9,,50-37,3,5.0,Camp,Lackey,Gregg,3:29,D,35037,-,
88,Sunday Jul 11,boxscore,BOS,@,TOR,W,3,2,,51-37,3,5.0,Matsuzaka,Litsch,Papelbon,2:32,D,26062,+,
89,Thursday Jul 15,boxscore,BOS,,TEX,L,2,7,,51-38,3,5.5,Hunter,Wakefield,,3:11,N,38062,-,
90,Friday Jul 16,boxscore,BOS,,TEX,L,4,8,,51-39,3,6.5,Lewis,Doubront,,3:21,N,37669,--,
91,Saturday Jul 17,boxscore,BOS,,TEX,W-wo,3,2,11,52-39,3,5.5,Delcarmen,Ogando,,2:58,N,37744,+,
92,Sunday Jul 18,boxscore,BOS,,TEX,L,2,4,,52-40,3,6.5,Wilson,Lester,Feliz,2:57,D,37431,-,
93,Monday Jul 19,boxscore,BOS,@,OAK,W,2,1,,53-40,3,6.0,Matsuzaka,Sheets,Papelbon,2:40,N,19341,+,
94,Tuesday Jul 20,boxscore,BOS,@,OAK,L-wo,4,5,10,53-41,3,6.0,Bailey,Ramirez,,3:30,N,20271,-,
95,Wednesday Jul 21,boxscore,BOS,@,OAK,L,4,6,,53-42,3,7.0,Gonzalez,Buchholz,Wuertz,3:02,D,30456,--,
96,Thursday Jul 22,boxscore,BOS,@,SEA,W,8,6,13,54-42,3,7.0,Okajima,Olson,Ramirez,3:57,N,28074,+,
97,Friday Jul 23,boxscore,BOS,@,SEA,W,2,1,,55-42,3,7.0,Atchison,Vargas,Papelbon,2:37,N,34932,++,
98,Saturday Jul 24,boxscore,BOS,@,SEA,L,1,5,,55-43,3,7.0,Seddon,Lester,Olson,2:35,N,43694,-,
99,Sunday Jul 25,boxscore,BOS,@,SEA,L,2,4,,55-44,3,8.0,League,Okajima,Aardsma,3:01,D,40001,--,
100,Monday Jul 26,boxscore,BOS,@,LAA,W,6,3,,56-44,3,8.0,Buchholz,Haren,Papelbon,3:21,N,40364,+,
101,Tuesday Jul 27,boxscore,BOS,@,LAA,W,4,2,,57-44,3,7.0,Lackey,Weaver,Papelbon,3:04,N,40120,++,
102,Wednesday Jul 28,boxscore,BOS,@,LAA,W,7,3,,58-44,3,7.0,Beckett,Rodney,,3:36,D,44052,+++,
103,Friday Jul 30,boxscore,BOS,,DET,L,5,6,,58-45,3,7.5,Weinhardt,Lester,,3:49,N,37832,-,
104,Saturday Jul 31,boxscore,BOS,,DET,W-wo,5,4,,59-45,3,7.5,Okajima,Coke,,3:29,D,37498,+,
105,Sunday Aug 1,boxscore,BOS,,DET,W-wo,4,3,,60-45,3,6.5,Papelbon,Thomas,,2:48,D,37479,++,
106,Monday Aug 2,boxscore,BOS,,CLE,L,5,6,,60-46,3,6.5,Hernandez,Lackey,Perez,3:18,N,37931,-,
107,Tuesday Aug 3,boxscore,BOS,,CLE,W,3,1,,61-46,3,6.5,Beckett,Huff,Papelbon,2:41,N,37714,+,
108,Wednesday Aug 4,boxscore,BOS,,CLE,L,1,9,,61-47,3,6.5,Masterson,Lester,,3:07,N,37902,-,
109,Thursday Aug 5,boxscore,BOS,,CLE,W,6,2,,62-47,3,6.0,Matsuzaka,Tomlin,Papelbon,3:00,N,38102,+,
110,Friday Aug 6,boxscore,BOS,@,NYY,W,6,3,,63-47,3,5.0,Buchholz,Vazquez,Papelbon,3:17,N,49555,++,
111,Saturday Aug 7,boxscore,BOS,@,NYY,L,2,5,,63-48,3,6.0,Sabathia,Lackey,Rivera,2:47,D,49716,-,
112,Sunday Aug 8,boxscore,BOS,@,NYY,L,2,7,,63-49,3,7.0,Moseley,Beckett,,3:04,N,49096,--,
113,Monday Aug 9,boxscore,BOS,@,NYY,W,2,1,,64-49,3,6.0,Lester,Hughes,Papelbon,3:33,D,49476,+,
114,Tuesday Aug 10,boxscore,BOS,@,TOR,W,7,5,,65-49,3,5.0,Doubront,Camp,Papelbon,3:11,N,27690,++,
115,Wednesday Aug 11,boxscore,BOS,@,TOR,W,10,1,,66-49,3,5.0,Buchholz,Marcum,,3:00,N,28308,+++,
116,Thursday Aug 12,boxscore,BOS,@,TOR,L-wo,5,6,,66-50,3,6.0,Gregg,Papelbon,,2:53,D,36271,-,
117,Friday Aug 13,boxscore,BOS,@,TEX,L-wo,9,10,11,66-51,3,6.0,O'Day,Wakefield,,4:10,N,47195,--,
118,Saturday Aug 14,boxscore,BOS,@,TEX,W,3,1,,67-51,3,6.0,Lester,Lewis,Doubront,2:56,N,48030,+,
119,Sunday Aug 15,boxscore,BOS,@,TEX,L,3,7,,67-52,3,6.0,Wilson,Matsuzaka,,2:58,D,30252,-,
120,Tuesday Aug 17,boxscore,BOS,,LAA,W,6,0,,68-52,3,5.5,Buchholz,Weaver,,2:43,N,38304,+,
121,Wednesday Aug 18,boxscore,BOS,,LAA,W,7,5,,69-52,3,5.5,Lackey,Jepsen,Papelbon,3:11,N,37779,++,
122,Thursday Aug 19,boxscore,BOS,,LAA,L,2,7,,69-53,3,6.5,Santana,Beckett,,3:06,N,37641,-,
123,Friday Aug 20,boxscore,BOS,,TOR,L,2,16,,69-54,3,6.5,Cecil,Lester,,3:02,N,37726,--,
